pc,variance_ratio,cumulative_variance_ratio
PC1,0.14097686656143452,0.14097686656143452
PC2,0.13649979550793856,0.27747666206937305
PC3,0.12429928945105194,0.401775951520425
PC4,0.11356878655985464,0.5153447380802796
PC5,0.10099336631815356,0.6163381043984332
PC6,0.07570911951889611,0.6920472239173293
PC7,0.06798173978321173,0.7600289637005411
PC8,0.04672632328764342,0.8067552869881844
PC9,0.03975064793645124,0.8465059349246357
PC10,0.03347292744616491,0.8799788623708006
