analysis_block,endpoint,feature_set,feature,raw_feature,coef,abs_coef,feature_scope
primary,PFS_6m_restricted,clinical_only,cat__histology_LUSC,histology,0.4643489017872269,0.4643489017872269,clinical
primary,PFS_6m_restricted,clinical_only,cat__smoking_Ex,smoking,0.3646415402983152,0.3646415402983152,clinical
primary,PFS_6m_restricted,clinical_only,num__age,age,-0.13482859032506012,0.13482859032506012,clinical
primary,PFS_6m_restricted,clinical_plus_bio_sbp,cat__io_line_≥2nd line,io_line,5.463881391082274e-07,5.463881391082274e-07,clinical
primary,PFS_6m_restricted,clinical_plus_bio_sbp,cat__histology_others,histology,-3.9370827997605136e-07,3.9370827997605136e-07,clinical
primary,PFS_6m_restricted,clinical_plus_bio_sbp,cat__ecog_1,ecog,3.6586745750591035e-07,3.6586745750591035e-07,clinical
primary,PFS_6m_restricted,clinical_plus_bio_sbp,cat__egfr_status_Wild-Type,egfr_status,-3.125910246911522e-07,3.125910246911522e-07,clinical
primary,PFS_6m_restricted,clinical_plus_bio_sbp,cat__smoking_Ex,smoking,1.8428230894593165e-07,1.8428230894593165e-07,clinical
primary,PFS_6m_restricted,clinical_plus_bio_sbp,cat__sex_M,sex,1.3105679467801303e-07,1.3105679467801303e-07,clinical
primary,PFS_6m_restricted,clinical_plus_bio_sbp,cat__previous_target_Yes,previous_target,1.2093603756527728e-07,1.2093603756527728e-07,clinical
primary,PFS_6m_restricted,clinical_plus_bio_sbp,cat__ecog_2,ecog,8.536594731141815e-08,8.536594731141815e-08,clinical
primary,PFS_6m_restricted,clinical_plus_bio_sbp,cat__smoking_Never,smoking,-6.314647354086985e-08,6.314647354086985e-08,clinical
primary,PFS_6m_restricted,clinical_plus_bio_sbp,cat__histology_LUSC,histology,5.96256364857812e-08,5.96256364857812e-08,clinical
primary,PFS_6m_restricted,clinical_plus_bio_sbp,num__age,age,-2.2192606850984256e-08,2.2192606850984256e-08,clinical
primary,PFS_6m_restricted,clinical_plus_bio_sbp,num__bio__CD14_CD16_SBP_2part_ilr,bio__CD14_CD16_SBP_2part_ilr,1.477104569345518e-07,1.477104569345518e-07,immune
