endpoint_name,endpoint_type,feature_name,feature_set,n_patients,status,roc_auc_mean,roc_auc_sd,auprc_mean,auprc_sd,brier_mean,brier_sd,baseline_roc_auc_mean,baseline_auprc_mean,baseline_brier_mean,delta_roc_auc_mean,delta_auprc_mean,delta_brier_mean,ranking_metric,full_data_coef,full_data_coef_sign,best_alpha,best_l1_ratio,full_inner_score
Binarized_response,binary,B__Centroid_mean_score,clinical_plus__B__Centroid_mean_score,65,ok,0.6282142857142857,0.14526602234329677,0.6353710382210381,0.15204442253126763,0.2594557102620335,0.05929462221804135,0.6133690476190476,0.6182789617789618,0.25983740494959195,0.014845238095238078,0.01709207644207633,-0.0003816946875584426,0.014845238095238078,0.7083654999732971,1.0,0.003,1.0,0.7085317460317461
Binarized_response,binary,B__Centroid_median_score,clinical_plus__B__Centroid_median_score,65,ok,0.6093095238095239,0.13574538456704704,0.6196550301550302,0.1416961658990406,0.268224578331522,0.059717889020523406,0.6133690476190476,0.6182789617789618,0.25983740494959195,-0.004059523809523791,0.0013760683760684067,0.008387173381930069,-0.004059523809523791,0.5273339748382568,1.0,0.001,1.0,0.7041666666666667
Binarized_response,binary,B__Centroid_sd_score,clinical_plus__B__Centroid_sd_score,65,ok,0.58975,0.1520942285649443,0.5973625763125763,0.13763425822417596,0.2708277483736356,0.06628021177689392,0.6133690476190476,0.6182789617789618,0.25983740494959195,-0.02361904761904765,-0.020916385466385523,0.010990343424043647,-0.02361904761904765,0.4632005989551544,1.0,0.003,0.75,0.6706349206349206
Binarized_response,binary,B__Centroid_iqr_score,clinical_plus__B__Centroid_iqr_score,65,ok,0.6107857142857143,0.12937995114057751,0.6031944166944166,0.1275328401593726,0.26841069357394237,0.0665539292507011,0.6133690476190476,0.6182789617789618,0.25983740494959195,-0.002583333333333382,-0.015084545084545153,0.008573288624350417,-0.002583333333333382,0.38482141494750977,1.0,0.001,1.0,0.685515873015873
Binarized_response,binary,B__Centroid_frac_naive_like,clinical_plus__B__Centroid_frac_naive_like,65,ok,0.6255952380952382,0.13205478420970432,0.6229746290746291,0.13830800828085357,0.2574574492767853,0.051267039035581156,0.6133690476190476,0.6182789617789618,0.25983740494959195,0.012226190476190557,0.004695667295667283,-0.002379955672806633,0.012226190476190557,-0.6837372183799744,-1.0,0.001,1.0,0.728968253968254
Binarized_response,binary,B__Centroid_frac_memory_like,clinical_plus__B__Centroid_frac_memory_like,65,ok,0.6255952380952382,0.13205478420970432,0.6229746290746291,0.13830800828085357,0.2574574492767853,0.051267039035581156,0.6133690476190476,0.6182789617789618,0.25983740494959195,0.012226190476190557,0.004695667295667283,-0.002379955672806633,0.012226190476190557,0.6837372183799744,1.0,0.001,1.0,0.728968253968254
Binarized_response,binary,B__Centroid_observed_frac_naive,clinical_plus__B__Centroid_observed_frac_naive,65,ok,0.6411547619047618,0.1260707764472985,0.6361771432271432,0.13270664486458206,0.25619610795395326,0.05573742568226899,0.6133690476190476,0.6182789617789618,0.25983740494959195,0.02778571428571419,0.01789818144818145,-0.0036412969956386987,0.02778571428571419,-0.7106619477272034,-1.0,0.001,1.0,0.7250000000000001
Binarized_response,binary,B__Centroid_observed_frac_memory,clinical_plus__B__Centroid_observed_frac_memory,65,ok,0.6411547619047618,0.1260707764472985,0.6361771432271432,0.13270664486458206,0.25619610795395326,0.05573742568226899,0.6133690476190476,0.6182789617789618,0.25983740494959195,0.02778571428571419,0.01789818144818145,-0.0036412969956386987,0.02778571428571419,0.7106619477272034,1.0,0.001,1.0,0.7250000000000001
Binarized_response,binary,B__Centroid_log2ratio_memory_naive,clinical_plus__B__Centroid_log2ratio_memory_naive,65,ok,0.6232738095238095,0.1296255474437615,0.6225365171865171,0.13137697659151118,0.2537486823821856,0.04671227678852408,0.6133690476190476,0.6182789617789618,0.25983740494959195,0.00990476190476186,0.004257555407555347,-0.006088722567406335,0.00990476190476186,2.132857322692871,1.0,0.001,1.0,0.7323412698412698
Binarized_response,binary,B__Centroid_skew_memory_minus_naive,clinical_plus__B__Centroid_skew_memory_minus_naive,65,ok,0.6255952380952382,0.13205478420970432,0.6229746290746291,0.13830800828085357,0.2574574492767853,0.051267039035581156,0.6133690476190476,0.6182789617789618,0.25983740494959195,0.012226190476190557,0.004695667295667283,-0.002379955672806633,0.012226190476190557,0.6837372183799744,1.0,0.001,1.0,0.728968253968254
